identifier,id-values,id-weight,id-category
question1e,values1e,weight112,category1e
question1f,values1f,weight112,category1f
question2e,values2e,weight112,category2e
question2f,values2f,weight112,category2f
question3e,values3e,weight112,category3e
question3f,values3f,weight112,category3f
question4e,values4e,weight112,category4e
question4f,values4f,weight112,category4f
question5e,values5e,weight222,category5e
question5f,values5f,weight222,category5f
question6e,values6e,weight222,category6e
question6f,values6f,weight222,category6f
question7e,values7e,weight222,category7e
question7f,values7f,weight222,category7f
question8e,values8e,weight222,category8e
question8f,values8f,weight222,category8f
question9e,values9e,weight223,category9e
question9f,values9f,weight223,category9f
question10e,values10e,weight113,category10e
question10f,values10f,weight113,category10f
question11e,values11e,weight233,category11e
question11f,values11f,weight233,category11f
question12e,values12e,weight333,category12e
question12f,values12f,weight333,category12f
